rosbagTimestamp,milliseconds,rate,data_0,data_1
1534358460076751675,379807,1,0,-24
1534358460077467677,379809,2,0,-24
1534358460078117860,379810,1,0,-24
1534358460078851139,379811,1,0,-24
1534358460079851861,379812,1,0,-24
1534358460080235719,379814,2,0,-24
1534358460081047285,379815,1,0,-24
1534358460081955198,379816,1,0,-24
1534358460082776105,379817,1,0,-24
1534358460085181657,379820,3,0,-24
1534358460085698683,379821,1,0,-24
1534358460087329005,379822,1,0,-24
1534358460088117966,379823,1,0,-24
1534358460090063546,379824,1,0,-24
1534358460090907915,379826,2,0,-24
1534358460092908475,379827,1,0,-24
1534358460093537065,379828,1,0,-24
1534358460094253644,379829,1,0,-24
1534358460096186559,379831,2,0,-24
1534358460097142347,379832,1,0,-24
1534358460098608497,379833,1,0,-24
1534358460099367525,379834,1,0,-24
1534358460101143761,379836,2,0,-24
1534358460102072171,379837,1,0,-24
1534358460103972854,379838,1,0,-24
1534358460104822248,379839,1,0,-24
1534358460106502558,379841,2,0,-24
1534358460107360877,379842,1,0,-24
1534358460109270127,379843,1,0,-24
1534358460110140117,379844,1,0,-24
1534358460114779685,379846,2,0,-24
1534358460115271842,379847,1,0,-24
1534358460115752774,379848,1,0,-23
1534358460116226949,379849,1,0,-23
1534358460116711271,379851,2,0,-23
1534358460120212616,379852,1,0,-23
1534358460121507216,379853,1,0,-23
1534358460122743550,379854,1,0,-23
1534358460124362917,379856,2,0,-23
1534358460125665645,379857,1,0,-23
1534358460128543268,379858,1,0,-23
1534358460130047143,379859,1,0,-23
1534358460131255597,379862,3,0,-23
1534358460132428045,379863,1,0,-23
1534358460133670686,379864,1,0,-22
1534358460134838027,379865,1,0,-22
1534358460135998553,379867,2,0,-22
1534358460137172062,379868,1,0,-22
1534358460138314133,379869,1,0,-22
1534358460139873525,379870,1,0,-22
1534358460139876218,379872,2,0,-21
1534358460142386493,379873,1,0,-21
1534358460142389964,379874,1,0,-21
1534358460143876301,379875,1,0,-21
1534358460144548839,379877,2,0,-20
1534358460145758508,379878,1,0,-20
1534358460146205309,379879,1,0,-20
1534358460147234578,379880,1,0,-20
1534358460148205812,379882,2,0,-19
1534358460149213074,379883,1,0,-19
1534358460150241522,379884,1,0,-19
1534358460151262457,379885,1,0,-18
1534358460153053194,379887,2,0,-18
1534358460154123007,379888,1,0,-18
1534358460155646160,379889,1,0,-17
1534358460156719817,379890,1,0,-17
1534358460157929823,379891,1,0,-16
1534358460158874971,379893,2,0,-16
1534358460159896094,379894,1,0,-15
1534358460161001073,379895,1,0,-15
1534358460162117214,379896,1,0,-14
1534358460163915083,379898,2,0,-14
1534358460165022384,379899,1,0,-13
1534358460166434716,379900,1,0,-12
1534358460167427486,379901,1,0,-11
1534358460169115402,379904,3,0,-11
1534358460170111937,379905,1,0,-10
1534358460172107701,379906,1,0,-9
1534358460172849755,379907,1,0,-9
1534358460174187152,379909,2,0,-8
1534358460175327662,379910,1,0,-7
1534358460176131083,379911,1,0,-6
1534358460177173192,379912,1,0,-6
1534358460178230845,379913,1,0,-5
1534358460181010186,379914,1,0,-4
1534358460182151825,379915,1,0,-3
1534358460182829843,379917,2,0,-2
1534358460183762730,379918,1,0,-2
1534358460184724906,379919,1,0,0
1534358460185725550,379920,1,0,0
1534358460186668873,379921,1,0,1
1534358460187997745,379922,1,0,2
1534358460188858026,379923,1,0,3
1534358460189709605,379924,1,0,4
1534358460190785568,379925,1,0,5
1534358460191890854,379927,2,0,6
1534358460193420285,379928,1,0,7
1534358460194232539,379929,1,0,8
1534358460195208504,379930,1,0,9
1534358460196192979,379931,1,0,10
1534358460197059075,379932,1,0,11
1534358460198895808,379933,1,0,12
1534358460199701032,379934,1,0,13
1534358460201597855,379935,1,0,14
1534358460202427991,379937,2,0,16
1534358460203273267,379938,1,0,17
1534358460204693259,379939,1,0,18
1534358460205404958,379940,1,0,19
1534358460207487802,379941,1,0,20
1534358460208475578,379942,1,0,22
1534358460209943929,379944,2,0,23
1534358460210913325,379945,1,0,24
1534358460212646985,379947,2,0,25
1534358460214499616,379948,1,0,27
1534358460215631446,379949,1,0,28
1534358460216701618,379950,1,0,30
1534358460218074108,379952,2,0,31
1534358460219189838,379953,1,0,32
1534358460220284480,379954,1,0,34
1534358460221429124,379955,1,0,35
1534358460222452516,379956,1,0,37
1534358460223619751,379957,1,0,38
1534358460224810686,379959,2,0,40
1534358460226034102,379960,1,0,41
1534358460227400028,379961,1,0,43
1534358460230916868,379962,1,0,44
1534358460232006586,379963,1,0,46
1534358460233096392,379964,1,0,48
1534358460234211997,379966,2,0,49
1534358460235291487,379967,1,0,51
1534358460236371486,379968,1,0,52
1534358460238037292,379969,1,0,54
1534358460240146456,379970,1,0,56
1534358460240148984,379971,1,0,57
1534358460246504130,379973,2,0,59
1534358460246508197,379974,1,0,61
1534358460246510525,379975,1,0,63
1534358460246512962,379976,1,0,65
1534358460246520179,379977,1,0,66
1534358460246527016,379978,1,0,68
1534358460246529366,379979,1,0,70
1534358460246538080,379981,2,0,72
1534358460251791767,379982,1,0,73
1534358460252972678,379983,1,0,76
1534358460253997895,379984,1,0,77
1534358460254846719,379985,1,0,79
1534358460255898565,379986,1,0,81
1534358460257012755,379988,2,0,83
1534358460257984024,379990,2,0,85
1534358460258993250,379991,1,0,87
1534358460259961667,379992,1,0,89
1534358460260926767,379993,1,0,91
1534358460262094994,379994,1,0,93
1534358460263022226,379996,2,0,95
1534358460264038517,379997,1,0,97
1534358460265051130,379998,1,0,99
1534358460265988265,379999,1,0,101
1534358460267089595,380000,1,0,104
1534358460268391237,380002,2,0,106
1534358460269391941,380003,1,0,108
1534358460270082257,380004,1,0,110
1534358460271114128,380005,1,0,113
1534358460272349680,380007,2,0,115
1534358460273153112,380008,1,0,117
1534358460275095669,380009,1,0,120
1534358460275926502,380010,1,0,122
1534358460277769999,380012,2,0,125
1534358460278614741,380013,1,0,127
1534358460279508432,380014,1,0,130
1534358460280560254,380015,1,0,132
1534358460281589177,380017,2,0,135
1534358460283296692,380018,1,0,137
1534358460284138155,380019,1,0,140
1534358460285975541,380020,1,0,143
1534358460286831473,380021,1,0,145
1534358460288728042,380023,2,0,148
1534358460289527137,380024,1,0,151
1534358460291407956,380025,1,0,153
1534358460297087189,380026,1,0,156
1534358460297999291,380028,2,0,159
1534358460299081145,380029,1,0,162
1534358460300162685,380030,1,0,165
1534358460300888613,380032,2,0,167
1534358460301720462,380034,2,0,170
1534358460302630394,380035,1,0,173
1534358460303472572,380036,1,0,176
1534358460304426622,380037,1,0,179
1534358460305296448,380039,2,0,182
1534358460306286329,380040,1,0,185
1534358460307198417,380041,1,0,188
1534358460308312236,380042,1,0,191
1534358460309130076,380044,2,0,194
1534358460310567588,380045,1,0,197
1534358460311469848,380046,1,0,200
1534358460313176295,380047,1,0,203
1534358460313997044,380049,2,0,206
1534358460315924114,380050,1,0,209
1534358460316803558,380051,1,0,212
1534358460318607672,380052,1,0,215
1534358460319546390,380054,2,0,218
1534358460320437358,380055,1,0,222
1534358460321379205,380056,1,0,225
1534358460322249171,380057,1,0,228
1534358460324430754,380059,2,0,231
1534358460325106472,380060,1,0,235
1534358460326813914,380061,1,0,238
1534358460327898010,380062,1,0,241
1534358460329691040,380064,2,0,245
1534358460330508718,380065,1,0,248
1534358460332229719,380066,1,0,251
1534358460333352039,380067,1,0,255
1534358460335162273,380069,2,0,258
1534358460336223917,380070,1,0,262
1534358460337651338,380071,1,0,265
1534358460338587923,380072,1,0,269
1534358460340273284,380075,3,0,272
1534358460342545731,380076,1,0,276
1534358460342549994,380077,1,0,279
1534358460348808745,380078,1,0,283
1534358460349668076,380080,2,0,286
1534358460350514265,380081,1,0,290
1534358460351363740,380082,1,0,293
1534358460354682693,380083,1,0,297
1534358460355251292,380084,1,0,301
1534358460355874573,380086,2,0,304
1534358460356433161,380087,1,0,308
1534358460356963185,380088,1,0,312
1534358460357482405,380089,1,0,316
1534358460357989277,380091,2,0,319
1534358460358537522,380092,1,0,323
1534358460359438996,380093,1,0,327
1534358460360955230,380094,1,0,331
1534358460360958147,380096,2,0,335
1534358460362531132,380097,1,0,338
1534358460362915826,380098,1,0,342
1534358460364895628,380099,1,0,346
1534358460365537318,380101,2,0,350
1534358460367606617,380102,1,0,354
1534358460368162220,380103,1,0,358
1534358460370324482,380104,1,0,362
1534358460370850261,380106,2,0,366
1534358460373066187,380107,1,0,370
1534358460373598493,380108,1,0,374
1534358460375760078,380109,1,0,378
1534358460376347571,380111,2,0,382
1534358460378710438,380112,1,0,386
1534358460379543706,380113,1,0,390
1534358460380359067,380114,1,0,394
1534358460381379829,380116,2,0,398
1534358460382152740,380118,2,0,402
1534358460384100459,380119,1,0,407
1534358460385150395,380120,1,0,411
1534358460386771975,380122,2,0,415
1534358460387805802,380123,1,0,419
1534358460389614081,380124,1,0,423
1534358460390716486,380125,1,0,428
1534358460393155425,380127,2,0,432
1534358460394216843,380128,1,0,436
1534358460396247789,380129,1,0,440
1534358460397466893,380130,1,0,445
1534358460398361008,380132,2,0,449
1534358460399599388,380133,1,0,453
1534358460400624072,380134,1,0,457
1534358460401619393,380135,1,0,462
1534358460402676770,380137,2,0,466
1534358460403716308,380138,1,0,470
1534358460404840573,380139,1,0,475
1534358460406213067,380140,1,0,479
1534358460406967136,380142,2,0,483
1534358460408380777,380143,1,0,488
1534358460409204991,380144,1,0,492
1534358460411949565,380145,1,0,496
1534358460412185905,380147,2,0,501
1534358460414887056,380148,1,0,505
1534358460415444250,380149,1,0,509
1534358460416748937,380150,1,0,514
1534358460417381141,380151,1,0,518
1534358460419572391,380153,2,0,522
1534358460420514830,380154,1,0,527
1534358460420864678,380155,1,0,531
1534358460422277992,380156,1,0,536
1534358460422643983,380158,2,0,540
1534358460425368301,380160,2,0,544
1534358460425652016,380161,1,0,548
1534358460430546896,380162,1,0,553
1534358460431369279,380164,2,0,557
1534358460431373671,380165,1,0,561
1534358460433127618,380166,1,0,565
1534358460433135514,380167,1,0,570
1534358460434194579,380169,2,0,574
1534358460435944270,380170,1,0,578
1534358460436592557,380171,1,0,582
1534358460438710484,380172,1,0,587
